source_id,n_profiles,seed,rmse
58125935,1,0,2.322446480653791
58125935,1,1,2.01440124103024
58125935,1,2,1.8801653127816225
58125935,1,3,1.6749297497620386
58125935,1,4,2.125880380474524
58125935,2,0,1.5506210797537832
58125935,2,1,2.026019433512218
58125935,2,2,1.844770014078999
58125935,2,3,1.639257279208819
58125935,2,4,1.866123653422735
58125935,5,0,1.8332167196919673
58125935,5,1,2.2560979949006494
58125935,5,2,1.722836014128282
58125935,5,3,2.1472611916603483
58125935,5,4,1.9179511388679913
58125935,10,0,1.9372635848405124
58125935,10,1,1.800634394871647
58125935,10,2,1.6119222152296044
58125935,10,3,2.03859214357623
58125935,10,4,1.6287333315732708
58125935,15,0,2.0173921387335354
58125935,15,1,1.6482342201930746
58125935,15,2,2.2578874641872737
58125935,15,3,1.7742719055649239
58125935,15,4,1.7201027496765597
58125935,20,0,2.108269412968895
58125935,20,1,1.8228025986844192
58125935,20,2,1.7204586837628515
58125935,20,3,1.6019452569050014
58125935,20,4,1.800127505477689
58125935,25,0,2.2945441468381267
58125935,25,1,1.6672714978945802
58125935,25,2,1.5045050446178603
58125935,25,3,1.916676086995875
58125935,25,4,1.9037809451196568
58125935,30,0,2.4457010925117113
58125935,30,1,1.7310382300883584
58125935,30,2,1.6475320877983741
58125935,30,3,2.001652592081535
58125935,30,4,1.9033588775682824
58125935,35,0,2.3564987453211055
58125935,35,1,1.787272516471422
58125935,35,2,1.5040029590476118
58125935,35,3,1.7465267060516085
58125935,35,4,1.7592926041951502
58125935,40,0,2.102166207167468
58125935,40,1,1.5906706655074585
58125935,40,2,1.60129333771267
58125935,40,3,1.765742154262687
58125935,40,4,1.7371759459016451
58125935,45,0,2.2268281988462393
58125935,45,1,1.6105076122434068
58125935,45,2,1.525690992921918
58125935,45,3,1.7413865375105066
58125935,45,4,1.6416954578280405
58125935,50,0,2.086424231005556
58125935,50,1,1.54316992531961
58125935,50,2,1.5033211482465283
58125935,50,3,1.4884127819832
58125935,50,4,1.6678670463544791
