source_id,n_profiles,seed,rmse
82819488,1,0,1.5649632501257869
82819488,1,1,1.2871504714837738
82819488,1,2,2.1676236135289146
82819488,1,3,1.5820114002056374
82819488,1,4,1.6289102607542545
82819488,2,0,1.2622894398973206
82819488,2,1,1.3702565863309066
82819488,2,2,1.804713743092435
82819488,2,3,1.2808882987052688
82819488,2,4,1.476234177756028
82819488,5,0,1.242599628366692
82819488,5,1,1.228651133526309
82819488,5,2,1.2715091430381222
82819488,5,3,1.3582842220921842
82819488,5,4,1.309573235767239
82819488,10,0,1.1386403326065035
82819488,10,1,1.5881505294230795
82819488,10,2,1.256548774629004
82819488,10,3,1.4436983884616101
82819488,10,4,1.2132339592779358
82819488,15,0,1.197631263152322
82819488,15,1,1.4778951984137942
82819488,15,2,1.3529743708574584
82819488,15,3,1.4024762543601672
82819488,15,4,1.2233071707343879
82819488,20,0,1.169800936583504
82819488,20,1,1.455341399995004
82819488,20,2,1.3015121912218606
82819488,20,3,1.4187899185746264
82819488,20,4,1.206625336140848
82819488,25,0,1.2608988092534128
82819488,25,1,1.2598600288470359
82819488,25,2,1.3906528857387659
82819488,25,3,1.3115537575534322
82819488,25,4,1.280825382828679
82819488,30,0,1.4718476130540685
82819488,30,1,1.3216510904253826
82819488,30,2,1.3866030777627423
82819488,30,3,1.3873287564542913
82819488,30,4,1.3066519082876336
82819488,35,0,1.2410720297166826
82819488,35,1,1.319717012930336
82819488,35,2,1.3283402276578353
82819488,35,3,1.3231949881358955
82819488,35,4,1.3838270457757311
