target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse,n_obs_su,obs_temp_mean,obs_temp_skew,obs_temp_kurt,ad_glm_strat_perc,obs_temp_mean_airdif,dif_max_depth,dif_surface_area,dif_sw_mean_au,dif_ws_mean_au,dif_lathrop_strat,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_sqrt_surface_area
nhdhr_34127011,nhdhr_120020343,1.9589595284274,1.8702145090304971,0.5926822547630295,0.479364978786219,894.0,18.124439829187153,0.3180414137797117,0.5835919505094189,0.22169746748802188,11.435046088855275,7.924799999999999,9020757.6983,0.45186831213297296,0.011144234592076696,0,-0.22169746748802188,113.04347826086956,152.18599390744987
nhdhr_34127389,nhdhr_120020218,2.205634556013,2.6298881160656715,0.869615021256495,1.160369215083801,468.0,12.843316681990622,0.39691894210415773,1.2736027418891014,0.04106776180698146,5.509847294390591,2.4384000000000006,19656.579899999997,-0.16441914775913347,-0.13073827715456998,0,0.04106776180698146,27.58620689655173,8.65193002023677
nhdhr_34127672,nhdhr_47726570,2.9678689391789903,2.721841002836058,0.943272712958589,1.824056027470109,1168.0,10.012264439818964,1.1450971418559623,0.0477632378410906,0.019164955509924697,4.862602727936669,19.811999999999998,1077695.9605,0.4096636790929722,0.985832291397776,0,0.019164955509924697,100.77519379844959,100.10619534432999
nhdhr_34127844,nhdhr_47726570,2.5460241996705095,2.068144767803811,0.9107778302629504,0.8642353258988272,1168.0,10.012264439818964,1.1450971418559623,0.0477632378410906,0.04373716632443536,4.862602727936669,16.4592,751717.0089,0.375810931160089,0.9630137310739078,0,0.04373716632443536,77.14285714285715,47.48685884288173
nhdhr_34127862,nhdhr_91688409,2.9273928719511497,2.1811547712254518,0.9343882853094,0.5320786145684473,483.0,13.944136460554372,0.3736727150511516,1.1262440647570802,0.008008213552361365,7.163299531768009,2.1336000000000004,14737.934399999998,-1.1064434279426791,-0.08751098394325929,0,-0.008008213552361365,23.728813559322038,3.918933678674848
nhdhr_34128205,nhdhr_47726570,3.8563528550025294,2.2383854722479306,0.6625925051173044,1.4659057872834642,1168.0,10.012264439818964,1.1450971418559623,0.0477632378410906,0.03655030800821357,4.862602727936669,17.6784,891540.7917,0.35097359211232515,0.9459697492785688,0,0.03655030800821357,85.29411764705883,64.1673995977268
nhdhr_34128269,nhdhr_34129366,2.95402534063592,1.8394697058143632,0.5290584159974807,0.5178508467133223,820.0,17.761061550853057,0.7355218916987631,0.10690627496196603,0.036071184120465394,10.552713058969928,3.5118,20974.149719999987,-0.06042943877079665,-0.043458860088285256,1,0.036071184120465394,112.52523310583484,13.824257174843007
nhdhr_34128424,nhdhr_34129366,1.8505243257342499,1.70912002728915,0.46673358526216335,0.827023988946559,820.0,17.761061550853057,0.7355218916987631,0.10690627496196603,0.05352498288843255,10.552713058969928,1.9812000000000003,-30903.78437000001,0.26082506037690223,-0.012956116366980464,1,0.05352498288843255,50.980392156862756,15.212492486314574
nhdhr_34128651,nhdhr_126212479,2.3239243249483703,1.2763689676807712,0.6090497559439458,0.38037729401275167,255.0,19.739525116558266,0.8199728416962276,1.0977704896507623,0.19281314168377817,12.40272791409291,1.524,43605778.697,11.580228568660374,0.6143595482760689,0,-0.19281314168377817,66.66666666666666,169.61446280303693
nhdhr_81642745,nhdhr_120018379,1.88914935352103,0.9518127661982387,0.5501062824752007,0.4490363091178073,1269.0,13.436647617488902,0.10201039872834969,1.4986532582118615,0.10513347022587272,6.028285132056478,2.214397,3065683.1725000003,6.832079088998739,0.7646888143103459,0,-0.10513347022587272,100.32613740902778,68.54299304652861
nhdhr_81643237,nhdhr_126212479,1.82662568013648,1.2108969593116339,0.3625334592977484,0.7650668866713757,255.0,19.739525116558266,0.8199728416962276,1.0977704896507623,0.2648186173853525,12.40272791409291,2.048,43735515.254099995,10.409207992409904,0.6031950862083644,0,-0.2648186173853525,101.18577075098814,176.76496665244258
nhdhr_91676911,nhdhr_120018211,2.26459421769228,1.6534884072343317,0.8066485592820029,0.6962810331721593,2745.0,15.733857941269749,0.18202644867929987,0.6584274652871098,0.0300479123887748,8.835590834392512,10.9728,2505694.6568000005,3.4448120873813934,0.48122363692396597,1,-0.0300479123887748,87.80487804878048,68.48106537112429
nhdhr_91682839,nhdhr_155635994,3.67426285929721,1.9673612887482026,0.7311014013541174,1.016568191022409,1519.0,14.186740458582284,0.6426413876990663,1.0220776912235014,0.06591375770020536,5.050645494672141,8.8392,19307.016999999527,10.077256665445844,0.023734744836817256,0,-0.06591375770020536,47.93388429752066,0.30280856540719087
nhdhr_91684449,nhdhr_155635994,3.0889260454345604,2.0682147993770106,0.56699732325618,1.0206486581344003,1519.0,14.186740458582284,0.6426413876990663,1.0220776912235014,0.15653661875427782,5.050645494672141,10.363199999999999,895411.9169999999,7.083051459812452,0.02178643313617723,0,-0.15653661875427782,58.620689655172406,16.389874992255997
nhdhr_91685677,nhdhr_34130604,2.87690343646868,2.6335937733451393,0.9592150842387024,0.8544679373496805,2669.0,11.748103757820077,0.7443501344880421,0.6788696986595983,0.018891170431211468,4.520620594921536,1.524000000000001,310480.2472,2.2390471195609223,-0.04674355474521308,0,0.018891170431211468,10.52631578947369,31.333485319347925
nhdhr_91686475,nhdhr_91690341,1.91190717338421,1.8493291811818657,0.4979530782553928,0.6776994728675102,324.0,17.39127725856698,0.0392367775432636,0.9664851694005523,0.11321013004791247,10.613350684810946,2.0,-181919.28738999998,-1.0705073662701636,-0.052508464490909734,1,0.11321013004791247,50.0,69.47610669279233
nhdhr_91686757,nhdhr_34127708,3.9860509133227797,2.716859480738529,0.8921941426546999,1.7194235601520844,584.0,14.398924058969481,0.4587960404100853,1.1307490584199111,0.04195756331279943,7.26754640981611,5.486400000000001,116920.28820000001,-0.4270309730852091,0.005899747203262251,0,0.04195756331279943,52.94117647058824,33.784930915643876
nhdhr_91688055,nhdhr_34119718,2.5364318048014103,0.8852940954001691,0.32636199023775786,0.5917219130491486,95.0,20.930794701986756,1.2370520378531114,1.8105861820955944,0.14613278576317595,14.250502373732258,-0.30773300000000003,1351205.6853999998,1.3269666032007876,0.057518787543721306,0,-0.14613278576317595,18.37284883250589,63.7047599493291
