target_id,source_id,meta_rmse,spearman,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_70330275,nhdhr_32672122,nan,1.5e-323,3.1236851152188065,2.1542210066371226,1247.0,1525.0,2.7432,110304.65079999997,0.03764544832306649,36.73469387755102,35.13571499160703,17.705539486618864
nhdhr_105231881,nhdhr_120018114,nan,2e-323,3.2056280284410033,3.0124316634490818,3977.0,6047.0,21.956000000000003,104184245.84,0.21088295687885011,109.11440214690391,172.4635969635181,114.48974885392376
nhdhr_83826087,nhdhr_34119718,nan,1.5e-323,2.481577230545334,1.6460857350726186,40.0,95.0,-0.30820100000000017,1513996.6147999999,-0.16413415468856946,18.398219879504595,139.31747987267585,81.11776154373564
nhdhr_122851099,nhdhr_143249864,nan,-5056544.0,3.587134722259968,3.0213941264190005,823.0,1019.0,0.539139999999998,-1206348.9717,0.18240930869267624,5.184821170118931,139.35181236060635,81.14562803129925
nhdhr_145088870,nhdhr_34131807,nan,2.226636561210761,1.05122102483567,3.6073068763964447,288.0,400.0,0.07982400000000034,-3563604.9312000005,0.497741273100616,0.8767929308240466,158.69110988464513,98.64996116493907
nhdhr_147307413,nhdhr_75654673,nan,1.423e-321,2.0299974763488966,1.8710927094410776,368.0,945.0,8.17313,17262823.9,0.05331964407939771,93.78195268292096,104.35940649859745,56.317044282198395
nhdhr_120018493,nhdhr_166867866,nan,288.0,4.337112800980189,2.857372529189381,646.0,1615.0,16.764000000000003,18799386.61,0.1273100616016427,50.69124423963134,86.18861404359706,45.305698158492106
nhdhr_120018495,nhdhr_80005045,nan,nan,2.2569029576744892,4.68396300156655,950.0,1521.0,-0.3048000000000002,-2425069.2320000003,0.08145106091718002,2.0618556701030943,61.56987723536839,31.551075993884954
nhdhr_120018510,nhdhr_120020343,nan,nan,1.8823191477541237,3.281922461265687,486.0,894.0,-1.828800000000001,1699385.0770000005,-0.020876112251882295,15.384615384615394,20.375207077636816,10.214175196553441
nhdhr_120018511,nhdhr_139268769,nan,nan,1.777868808557146,1.434370007314095,435.0,1616.0,-2.4383999999999997,114968.16229999997,-0.0755646817248461,31.999999999999996,14.37971070970527,7.19917126245487
nhdhr_120019016,nhdhr_143249192,nan,-2.0,2.032555741428078,2.889225474485949,947.0,1335.0,-34.442400000000006,-15475101.227,-0.24709103353867212,75.08305647840533,121.98482594262589,68.05442723161613
nhdhr_120020759,nhdhr_143249864,nan,3.0990909092654233,1.4118879962888908,1.5285592977472013,823.0,1019.0,6.400799999999999,-1468046.0477,0.3579055441478439,85.71428571428572,147.3151365495656,87.87823880650791
nhdhr_120020798,nhdhr_139268769,nan,2.5e-322,2.1039521402717503,2.104658589340327,435.0,1616.0,-0.5991999999999997,-1022423.2372999999,0.06598220396988363,8.942749686585872,74.72694837356913,38.7673179349335
nhdhr_59808243,nhdhr_120018071,nan,51.0,2.869326416695112,3.519070513301872,1872.0,2616.0,4.571999999999999,80235.26367,0.02546201232032863,23.25581395348837,60.24902736161681,30.840842666358277
nhdhr_72863203,nhdhr_120018139,nan,nan,2.3359446752741704,2.048860149540367,1123.0,1880.0,2.3919999999999995,294302.2617,0.09828884325804244,21.753364859949066,56.829857106219784,29.012883359468756
nhdhr_86273851,nhdhr_139268769,nan,nan,2.189783944350436,1.7371319040414073,435.0,1616.0,-2.7432,-10160.91359999997,-0.05968514715947981,35.29411764705882,1.1786494477722542,0.5893298408403861
nhdhr_86274219,nhdhr_120020206,nan,nan,1.5502119220476047,1.4285115499341152,448.0,738.0,6.400799999999999,11132864.793,-0.05982203969883637,82.35294117647058,161.84578018558184,101.95051664589398
nhdhr_86275155,nhdhr_120018090,nan,-2.0,2.1969123605043426,1.3973200717877388,672.0,997.0,-0.6096000000000004,137.7039999999688,0.014373716632443578,12.500000000000005,0.050679830021095836,0.025339915417319735
nhdhr_86275565,nhdhr_120018379,nan,1.8045300607839754,1.8017931258751632,1.3240009123941636,1100.0,1269.0,1.314397,2942316.285,-0.11423682409308694,49.46551791294478,114.9042171032852,63.18661687130778
nhdhr_86275759,nhdhr_120018074,nan,1.17e-321,2.0527170632312566,3.116323492703236,1028.0,1831.0,-7.619999999999999,496.843200000003,-0.05331964407939771,42.73504273504273,0.17345214967852013,0.08672609114684121
nhdhr_86275955,nhdhr_120018084,nan,237.0,2.0703595269565818,2.1089283441449465,2760.0,4441.0,4.267199999999999,-160130.0869,0.09212867898699528,28.571428571428566,42.530256553033404,21.51112786411047
nhdhr_120019913,nhdhr_139268769,nan,3e-323,2.9125061895373467,2.304248508652641,435.0,1616.0,-6.096,-1553719.2952999999,-0.030869267624914487,64.51612903225806,95.09499351434539,50.58972905779407
nhdhr_120019932,nhdhr_120018114,nan,3.5e-323,4.530179155378485,2.850466045974803,3977.0,6047.0,-0.29439999999999955,78641130.57,-0.017180013689253926,0.9421644179318452,107.46117513741409,58.2954901640233
nhdhr_166867846,nhdhr_139269431,nan,1e-323,3.3485232173550226,2.994930647557621,690.0,1887.0,-10.096000000000004,-10111717.816,0.028405201916495537,27.24819173054087,114.2707112772406,62.76182677686537
nhdhr_166867852,nhdhr_120018133,nan,-2.7070164680480957,2.2224966865956826,2.0482080737059336,1618.0,2636.0,-9.144000000000002,-84315.59299999988,-0.08323066392881584,35.29411764705883,3.0526601948450756,1.5264190044327168
nhdhr_166867860,nhdhr_86275195,nan,3.649784312048461,2.352596592915254,2.147992325765227,383.0,1241.0,-20.4216,-4404198.371,-0.02970568104038329,77.45664739884394,132.89848272057293,76.05955602519857
nhdhr_166867865,nhdhr_34131278,nan,1.423e-321,2.310850287036258,2.272536233918827,566.0,845.0,-3.962399999999999,-38015.94009999989,-0.02792607802874736,26.8041237113402,5.294728553323739,2.647828293082672
nhdhr_166867869,nhdhr_120018211,nan,288.0,3.6020084315699052,4.011975221745649,1901.0,2745.0,-12.4968,339463.72200000053,-0.05523613963039009,51.57232704402516,10.855592188558095,5.431799697463172
nhdhr_166867872,nhdhr_166867866,nan,nan,3.848179613783474,2.138530438659616,646.0,1615.0,17.068800000000003,24031370.865,0.03305954825462021,51.85185185185185,125.18997878999913,70.33685139331361
