target_id,source_ids,pb0_rmse,pgmtl_rmse,n_obs_sp,n_obs_su,dif_max_depth,dif_surface_area,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_surface_area,perc_dif_sqrt_surface_area
nhdhr_91690083,nhdhr_nhdhr_120020367 : nhdhr_nhdhr_75474779 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_91687083 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_120018094 : nhdhr_nhdhr_120018090 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_120018107,2.5860953151515655,1.379468928654793,587.0,1245.0,7.667999999999999,-15562.941099999996,0.13723477070499668,112.2036874451273,7.753522711827064,3.878219074705701
nhdhr_91690625,nhdhr_nhdhr_32672122 : nhdhr_nhdhr_120018139 : nhdhr_nhdhr_143249864 : nhdhr_nhdhr_91597877 : nhdhr_nhdhr_45722930 : nhdhr_nhdhr_120020367 : nhdhr_nhdhr_120018084 : nhdhr_nhdhr_120018126 : nhdhr_nhdhr_120018097,3.1217953730831067,3.2677411355855726,1033.0,1606.0,3.048,45929.826100000006,0.00232717316906228,38.46153846153846,10.69847889353775,5.353071558341224
nhdhr_91690679,nhdhr_nhdhr_120018071 : nhdhr_nhdhr_34127708 : nhdhr_nhdhr_120020199 : nhdhr_nhdhr_91685475 : nhdhr_nhdhr_120018132 : nhdhr_nhdhr_91595845 : nhdhr_nhdhr_91688409 : nhdhr_nhdhr_120020204 : nhdhr_nhdhr_143249864,2.600816453624625,2.3750026718283617,823.0,1019.0,-2.7432,85296.29079999999,-0.11813826146475015,22.78481012658228,38.79515512439545,19.583559500431118
nhdhr_91691383,nhdhr_nhdhr_120018139 : nhdhr_nhdhr_121623126 : nhdhr_nhdhr_120018081 : nhdhr_nhdhr_45722930 : nhdhr_nhdhr_32672122 : nhdhr_nhdhr_91594833 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_120020805 : nhdhr_nhdhr_120019712,2.483348846894823,1.8390988469891687,935.0,1302.0,-2.7432,442292.7304000001,-0.10472279260780293,26.865671641791046,52.38592632319291,26.65832454577439
nhdhr_69546231,nhdhr_nhdhr_120018379 : nhdhr_nhdhr_34131807 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_45385910 : nhdhr_nhdhr_120020208 : nhdhr_nhdhr_120020211 : nhdhr_nhdhr_86275133 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_91594833,2.23634264572806,1.9198736022516911,1280.0,1754.0,10.668,-1910258.6410000005,0.3375770020533881,114.75409836065573,88.70779142775996,46.78051582246708
nhdhr_69546677,nhdhr_nhdhr_120020343 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_120018114 : nhdhr_nhdhr_120019712 : nhdhr_nhdhr_120017988 : nhdhr_nhdhr_34126002 : nhdhr_nhdhr_81002103 : nhdhr_nhdhr_121623043,2.1413451367574536,1.6419204366735574,1018.0,1464.0,11.5824,3070098.9672,-0.053935660506502336,122.58064516129032,140.44265339073814,82.03585765599829
nhdhr_69546831,nhdhr_nhdhr_121623043 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120020211 : nhdhr_nhdhr_69886156 : nhdhr_nhdhr_120020240 : nhdhr_nhdhr_34131807 : nhdhr_nhdhr_81002103 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_120018133,1.9879161218273445,1.517591227633182,1618.0,2636.0,14.020799999999998,1130715.972,0.1994524298425736,97.8723404255319,52.48108735526722,26.708507274058285
nhdhr_69547885,nhdhr_nhdhr_120020208 : nhdhr_nhdhr_120020343 : nhdhr_nhdhr_75654673 : nhdhr_nhdhr_45385910 : nhdhr_nhdhr_34131807 : nhdhr_nhdhr_120020844 : nhdhr_nhdhr_120019704 : nhdhr_nhdhr_34119718 : nhdhr_nhdhr_91684979,1.9276162738834308,1.259330653741612,397.0,633.0,10.668,-4531915.0982,0.3486652977412731,122.80701754385966,143.9866821625118,84.99587674545666
nhdhr_69547949,nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_91597877 : nhdhr_nhdhr_120020240 : nhdhr_nhdhr_143249192 : nhdhr_nhdhr_34129544 : nhdhr_nhdhr_120020208 : nhdhr_nhdhr_120018140 : nhdhr_nhdhr_120019712,2.1095662857161304,2.186828556991974,935.0,1302.0,3.9623999999999997,378045.33730000013,0.026078028747433257,57.77777777777777,43.1351518391792,21.824394082072992
nhdhr_91681839,nhdhr_nhdhr_120020343 : nhdhr_nhdhr_139268769 : nhdhr_nhdhr_120019636 : nhdhr_nhdhr_120018129 : nhdhr_nhdhr_120020199 : nhdhr_nhdhr_120018459 : nhdhr_nhdhr_121839184 : nhdhr_nhdhr_120020844 : nhdhr_nhdhr_120017988,1.7470995171883361,1.5594533121895362,153.0,289.0,5.1816,5399163.655899999,-0.09288158795345652,97.14285714285715,163.86953921690736,104.15677907894616
