target_id,source_id,predicted_rmse,n_obs_su,obs_temp_mean,obs_temp_skew,obs_temp_kurt,ad_glm_strat_perc,obs_temp_mean_airdif,dif_max_depth,dif_surface_area,dif_sw_mean_au,dif_ws_mean_au,dif_lathrop_strat,dif_glm_strat_perc,perc_dif_max_depth,perc_dif_sqrt_surface_area
nhdhr_167258152,nhdhr_155635994,2.286878671523511,1519.0,14.186740458582284,0.6426413876990663,1.0220776912235014,0.09438740588637917,5.050645494672141,12.192,1823407.927,8.70649741704213,-0.7875579399185608,0,-0.09438740588637917,72.72727272727273,41.60924476513303
nhdhr_167258153,nhdhr_139269431,1.4385654465508393,1887.0,10.852188733349292,0.8353285505950648,0.6547466869944296,0.2355920602327174,3.2998535870731,-2.7432000000000016,1198303.497,4.914116258650182,-0.7851410027495112,0,-0.2355920602327174,8.219178082191785,18.92723573277997
nhdhr_167258154,nhdhr_143249413,2.0093979756378513,892.0,13.171563186602954,0.4240086815785136,1.1439573005613168,0.005749486652977365,4.9543224102055134,2.1336000000000013,-737249.7620000001,4.245131448997569,-0.7743268392134057,0,0.005749486652977365,12.173913043478269,25.13973739159832
nhdhr_167258160,nhdhr_45728298,2.433748340236456,939.0,12.404974563932836,0.22484797548858418,1.1642499557879746,0.10828199863107457,5.574680191620464,-3.3528000000000002,-279061.4650000001,3.769913835169177,-0.7767415443966295,0,0.10828199863107457,22.222222222222225,21.071779265553438
nhdhr_167258166,nhdhr_120018459,1.7752072104269232,1490.0,18.7610110483172,0.2636262163556341,0.7515625266821808,0.24161533196440793,13.214065508642085,0.0,3465521.7460000003,3.1450704701174743,0.08275250565471559,-1,-0.24161533196440793,0.0,62.73432439050782
nhdhr_167258167,nhdhr_91594833,2.422369422907514,1754.0,13.763665688782591,0.3225444553693643,0.7979125284696003,0.0736481861738536,6.431526039394047,-4.267200000000001,-709560.9130000002,-0.0750434142424865,-0.7443037022689052,0,0.0736481861738536,25.454545454545457,23.14973209604165
nhdhr_167258177,nhdhr_69886156,1.9330041611725126,1933.0,13.015595704213322,0.11436360347146955,1.1282076615942715,0.09370294318959616,8.049561895313524,-1.7536000000000005,474311.436,-6.137509176768759,-0.4758347198222772,-1,-0.09370294318959616,19.754866618601305,16.99840854565225
nhdhr_167258178,nhdhr_143249413,1.8614397089510122,892.0,13.171563186602954,0.4240086815785136,1.1439573005613168,0.024572210814510553,4.9543224102055134,3.6576000000000004,29722.888999999966,4.245131448997569,-0.7743268392134057,0,0.024572210814510553,21.818181818181824,1.3437898008225035
nhdhr_167258265,nhdhr_91688455,2.2224986524819115,2407.0,12.643568542913142,0.701093365244054,0.7827405304537298,0.28261464750171106,5.862731614126779,-2.743199999999998,-5825549.0659,-1.1403121427516396,-0.7839877266420991,0,0.28261464750171106,12.765957446808502,95.94744810813057
nhdhr_26F12E6A-07D1-4DC6-8BEA-980AD41B687A,nhdhr_155635994,1.7590847068572493,1519.0,14.186740458582284,0.6426413876990663,1.0220776912235014,0.08993839835728945,5.050645494672141,7.027879999999998,-2013506.7890000003,18.4504514467572,-0.451822095670392,0,-0.08993839835728945,36.32719013587261,24.298652132450457
