nhd_id,pgmtl_rmse,glm_rmse,spearman,lowest_predicted,improvement
13393567,1.82106555,1.981477713,0.6479854785,1.223037639,-0.1604121632
12160852,1.370415276,1.529109262,0.5588064822,1.730737336,-0.1586939855
120052022,2.732346053,2.884093013,0.8356739483,1.791847435,-0.1517469605
45730390,3.98074415,4.122622291,0.7395905947,1.829260127,-0.1418781405
1102086,2.333977472,2.46153908,0.7588331127,1.005718934,-0.1275616083
143418975,2.866479208,2.927904965,0.8551553578,0.6934198718,-0.06142575711
34128205,1.9589193,1.953176151,0.7789920343,1.808119412,0.005743148967
166868528,1.830449424,1.787510553,0.8393356465,2.261459102,0.04293887085
9022741,2.509078583,1.721009163,0.7849427835,0.5475660394,0.7880694204
1099432,3.440297922,2.143854305,0.5150129628,2.158146468,1.296443617
