target_id,source_id,rmse
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_34131191,6.14457319406661
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_45337711,6.89259758147932
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91595845,6.30592048638392
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91690341,5.9879101902955
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_34131807,4.88357076464614
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_34129366,4.92575654879717
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91594827,5.92317809568453
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_34126002,5.56360246192083
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018212,5.26244153243361
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120020218,6.59845512155842
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91687083,9.84511913276152
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120020367,5.54021014268327
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91690129,9.24199056465099
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_34130489,9.85729924962891
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120020226,8.1123338396605
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91688409,4.93110457880661
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91685475,5.33420218797147
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018071,7.06835430011344
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_70334219,8.43072044412221
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018107,7.09739041150149
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018108,5.75610574482327
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018022,3.96926515492209
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_34127708,4.44673536776073
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_70332223,8.76885649466134
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_75653667,6.47314704727959
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_143249864,3.81735337209661
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_91687843,8.05836080825804
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018090,6.54337374595244
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120018074,4.9232308967322
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120020210,6.96662183045566
nhdhr_0E445706-1F3E-47FA-8A83-D38E2C953307,nhdhr_120020387,6.54432835259342
