source_id,n_profiles,seed,rmse
34127672,1,0,2.8901043591445417
34127672,1,1,2.277120730895371
34127672,1,2,2.355890948561492
34127672,1,3,2.161998065216326
34127672,1,4,2.0094019577751343
34127672,2,0,2.1705267957485366
34127672,2,1,2.0799633738464567
34127672,2,2,2.0561291983598418
34127672,2,3,2.1802714619403063
34127672,2,4,2.552583472424158
34127672,5,0,2.633038074069775
34127672,5,1,2.1452672096164775
34127672,5,2,1.8401500682993444
34127672,5,3,1.9102094414018391
34127672,5,4,2.203629028011958
34127672,10,0,3.267643965702149
34127672,10,1,2.2542669172216194
34127672,10,2,2.0238871473378253
34127672,10,3,1.8832756005896307
34127672,10,4,2.456515293111154
34127672,15,0,2.412239096671509
34127672,15,1,2.276256740840339
34127672,15,2,2.1299047158670956
34127672,15,3,1.8433930246997225
34127672,15,4,2.4523648430776683
34127672,20,0,2.349130526561046
34127672,20,1,2.23668089330328
34127672,20,2,2.1666562062122816
34127672,20,3,1.927243326147229
34127672,20,4,2.062229605570253
34127672,25,0,2.749060701137104
34127672,25,1,2.1788903413489873
34127672,25,2,1.8956435576864805
34127672,25,3,1.808174578976132
34127672,25,4,2.0702966371344815
34127672,30,0,2.5548194595153673
34127672,30,1,2.0891913533545816
34127672,30,2,1.9203684187176857
34127672,30,3,1.8592640064231298
34127672,30,4,1.9492394005472962
34127672,35,0,2.2487677163033117
34127672,35,1,2.0826810531983
34127672,35,2,1.9977256250790916
34127672,35,3,2.153483197207695
34127672,35,4,2.0669422190976148
34127672,40,0,2.0605703254144467
34127672,40,1,2.0184957265739025
34127672,40,2,1.929971863133394
34127672,40,3,2.076930051098619
34127672,40,4,2.122100301631556
34127672,45,0,2.0179454015841762
34127672,45,1,2.013597621491356
34127672,45,2,1.897052271781509
34127672,45,3,2.2043967150112054
34127672,45,4,2.0253121265273024
34127672,50,0,1.8894188467137873
34127672,50,1,2.1445800236352857
34127672,50,2,2.0863815363612077
34127672,50,3,2.146081404826509
34127672,50,4,1.8967743546182037
