target_id,source_id,pb-mtl_rmse,predicted_rmse,spearman,meta_rmse
nhdhr143418975,nhdhr143416561,2.33943839828168,1.6814733245414817,0.5946819398519918,0.8915111561453755
nhdhr{4EA76133-68CD-4DA8-A82B-0B568CD9C9B2},nhdhr34124239,1.37854993644871,0.5347368434388375,0.295099196976854,0.8210037581595143
nhdhr{E940A362-4076-4895-A23F-1B8CCC905DEE},nhdhr166867866,2.63873701179546,2.3517048365710966,0.48729727601952444,2.1964027584879307
nhdhr105567402,nhdhr120019371,1.74063884492473,0.27507920170707467,0.6053298693119195,0.7136643342334051
nhdhr120019058,nhdhr80005045,4.6461021423685,3.6740425343983767,0.8610494410329081,1.8132249796403759
nhdhr120019354,nhdhr120019638,3.1930321647116298,2.0693692745794587,0.8851125806959533,0.777027525526391
nhdhr120020090,nhdhr120020343,1.2297049486967,0.4166660977362412,0.2817115414895292,1.048177207827339
nhdhr26F12E6A-07D1-4DC6-8BEA-980AD41B687A,nhdhr120018140,1.9469713763777399,2.2821857716591936,0.7255786490316485,1.0649817949245728
nhdhrEBD8B5AF-7EBC-43A3-82BA-AF41830C144C,nhdhr120019638,3.3458383597472,1.339686409337926,0.7482128798614391,1.253259295112447
nhdhr120020567,nhdhr120019854,3.02266031933559,1.8210831443731508,0.9305306250984097,1.0913380368741106
nhdhr120018981,nhdhr80005045,3.96456465405502,1.9573658297827787,0.5594237128011337,1.2634286332632247
nhdhr107074156,nhdhr139269431,2.3059577597781096,2.3458061446920495,0.9045032278381356,0.9284024149092246
nhdhr107074838,nhdhr34131191,4.38241855148702,2.447215238381511,0.6052314596126593,0.9457579892305706
nhdhr0b5e30c9-8c3f-401b-9931-91ac59b2662a,nhdhr120020204,3.6748188977356704,0.9937964811014799,0.6830971500551094,1.0782829069790505
nhdhr114544961,nhdhr120018090,1.9436349287662398,2.4740204075898213,-0.060183435679420555,1.5434077521382707
nhdhr120019246,nhdhr120020334,1.8156797528605402,1.453609364902049,0.6207054007242955,0.837566143214949
nhdhreec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,nhdhr120018133,3.06412210841523,1.7141338717855739,0.11071878444339474,1.5292849833457896
nhdhr114542575,nhdhr120018124,1.96866700225537,1.413105847173467,0.9430483388442764,2.0274729235321853
nhdhr120020636,nhdhr120020800,1.39897781992818,1.2007882359824027,0.3947488584474886,1.0861606805559696
nhdhr69884058,nhdhr120018114,4.13420936900571,1.5992098001818327,0.6724925208628562,1.9598077354828747
nhdhr69885442,nhdhr120018114,2.7923417528023196,1.2775450440808336,0.6240749488269564,2.521770502405033
nhdhr69886650,nhdhr120019294,5.72422759508253,0.7483706836876053,-0.33314832309872455,2.162826851421667
nhdhr123148239,nhdhr155635994,1.9728354478937802,1.5593447387697963,0.7102897181546213,2.5383689163209517
nhdhr69885902,nhdhr120018114,3.00116251248443,1.4862998478109508,0.7528578176665092,0.8816858676386905
nhdhr69886284,nhdhr120018114,2.38313450183704,1.6546367884304267,0.8166233663989922,0.8497515818237081
nhdhr69886444,nhdhr120018100,2.08136420743916,2.0628799429641624,0.9312667296488741,0.6493342143286993
nhdhr70330275,nhdhr151949699,2.05181137002467,2.2065721153054776,0.23693906471421822,1.5933433840267146
nhdhr105231881,nhdhr120020343,3.23483849753578,0.8248613358921926,0.7287592505117303,1.3029065356914866
nhdhr83826087,nhdhr91683191,2.1027306360026397,1.4703861861144463,0.3100259801606046,0.6344580062707943
nhdhr122851099,nhdhr120018133,3.1028927690773798,1.8194767169201955,-0.3708471106912297,2.29640812088829
nhdhr145088870,nhdhr120018124,5.03044102858967,1.2657246232312274,0.14574082821602893,1.6850425966413192
nhdhr147307413,nhdhr120020343,1.84391627787351,0.08836402318403656,0.4774641788694693,0.668385913103256
nhdhr120018493,nhdhr152335372,3.77902096036668,2.2531717760537275,0.8109037946780033,0.9101484854245929
nhdhr120018495,nhdhr120019854,4.0240093254722,2.165886447615572,-0.054160762084711066,1.9278492835152494
nhdhr120018510,nhdhr120019854,3.80643920560746,1.7791471182984064,0.30715241694221385,1.4974728812227864
nhdhr120018511,nhdhr120018114,2.08927938854435,1.864932150589158,0.7997795622736577,0.6666721663764761
nhdhr120019016,nhdhr155445200,1.9215491897309398,2.9153753557488233,0.9415603841914658,1.3533271260867021
nhdhr120020759,nhdhr120020343,1.4692346571485,0.7433245722244505,0.47628719886632026,0.6298207297294066
nhdhr120020798,nhdhr120019636,2.47659714428352,1.7968344975726145,0.5243071957172097,0.722761063318442
nhdhr59808243,nhdhr120018071,3.5014303390803097,3.6517510920031304,0.9179578019209572,2.1128841070415416
nhdhr72863203,nhdhr120020204,2.7141704339445,1.7413201072081292,0.4363328609667768,1.8018947114583732
nhdhr86273851,nhdhr74924599,2.7881617080827006,2.056296985055305,0.8521020311761927,0.6512102062441762
nhdhr86274219,nhdhr120020343,1.43797280156356,1.407792596198615,0.5898441190363721,0.7160575277430687
nhdhr86275155,nhdhr120018022,2.09310585618606,2.2979930526427372,0.5593056211620216,0.7809828721704553
nhdhr86275565,nhdhr120018379,1.5051952061090002,1.1896480252844805,0.3966540702251613,0.5834152250043613
