target_id,source_id,predicted_rmse , n_obs ,  obs_temp_mean ,  obs_temp_skew , obs_temp_kurt ,        obs_temp_mean_airdif ,  dif_max_depth ,  dif_surface_area ,        dif_sw_mean_au ,  dif_ws_mean_au ,  dif_lathrop_strat , dif_glm_strat_perc ,  ad_glm_strat_perc,         perc_dif_max_depth ,  perc_dif_surface_area
nhdhr_75655457,nhdhr_45728298,2.52064490055595,1763.0,12.293598258029395,0.2603856232375068,1.156231960777775,5.463303885717024,2.7432,179161.29433849698,0.38426402564624595,0.19790903597032594,0,0.03130878796022574,0.03130878796022574,22.78481012658228,40.680776998303855
nhdhr_75655521,nhdhr_91688409,2.6064592236787223,938.0,12.219027303754267,0.6534070720515129,0.9024429405833714,5.4381903749679035,-1.8287999999999993,85944.78655472,-3.0528582182567163,-0.013521397975272187,0,-0.03298844396667566,0.03298844396667566,16.66666666666666,56.35584140890275
nhdhr_75655587,nhdhr_34129544,2.55423893364323,5810.0,11.243505189722647,0.6654084844720474,0.933456950328662,4.035156697839519,11.887199999999998,436795.25429132,-2.0068442290848054,0.030530725879701848,0,0.0892233270626176,0.0892233270626176,54.54545454545454,75.09984920889184
nhdhr_75655589,nhdhr_120018114,2.0098284358982346,11422.0,14.450159064891244,0.3841499669791436,0.9913736182605315,7.390822242644685,20.432000000000002,111622340.70684652,-0.820159237403999,0.05468685539497953,0,-0.17367643106691755,0.17367643106691755,97.83566366596438,196.89825669651015
nhdhr_75656773,nhdhr_120020199,2.3005185548271356,4086.0,14.293922261484099,0.33918872809048095,1.0518989402613166,7.202242292881008,4.267199999999999,541235.1188622841,-0.004030188908416221,-0.13005553292345562,0,0.00913732867508732,0.00913732867508732,37.83783783783783,121.76886335681598
nhdhr_75659739,nhdhr_45722930,3.2657753697212097,2253.0,12.985797291393622,0.27524315790873766,1.1958246159198958,6.858262359508087,13.411200000000001,915887.7147058834,1.321207962178761,0.16384101327644185,0,-0.00020155872077398662,0.00020155872077398662,67.6923076923077,178.0510870452188
nhdhr_75661225,nhdhr_141288680,2.5055815226797926,6870.0,12.013991283565304,0.7688528339178602,0.4206242964915967,3.9103879589935673,-0.9120000000000026,241281.57654351008,0.13331087763845062,-0.5508084398460231,0,-0.0006718624025799924,0.0006718624025799924,4.711717296962195,35.29044076223915
nhdhr_75661537,nhdhr_91684663,1.8211764228847118,872.0,18.35034026465029,0.48303529446669763,0.4234900548203151,12.18625098606985,0.0,596498.165257215,-4.273670219606402,0.03997764990857622,-1,0.07585326525127656,0.07585326525127656,0.0,74.2678989435308
nhdhr_75661647,nhdhr_34119718,0.9612308705943765,151.0,20.961111111111112,1.2543572013624849,1.8729390167781208,14.280818782856615,-1.8317329999999998,-55851007.49509459,-3.1340949776241587,-0.08593475808866557,0,0.06402848696586938,0.06402848696586938,75.16548974356502,187.61323261780606
nhdhr_75661683,nhdhr_45722930,2.6252386664271725,2253.0,12.985797291393622,0.27524315790873766,1.1958246159198958,6.858262359508087,14.325600000000001,498638.33896460995,1.2867596609122245,0.14509813936201255,0,0.14814565976887928,0.14814565976887928,74.01574803149606,68.96598256507463
nhdhr_76155937,nhdhr_47726570,2.690432109446506,2089.0,9.989195238095238,1.152617978812282,0.029293334744418864,4.839533526212944,21.336,1099624.277767393,-0.2268252874242478,0.7937619971833447,0,0.07766729373824244,0.07766729373824244,112.9032258064516,166.06443117969835
nhdhr_76156141,nhdhr_45728298,2.573939174196313,1763.0,12.293598258029395,0.2603856232375068,1.156231960777775,5.463303885717024,2.4383999999999997,246247.39637710399,-1.0062635823531991,-0.04569631496134274,0,0.0512631013168503,0.0512631013168503,20.0,60.52316592553979
nhdhr_76156165,nhdhr_47726570,2.6701299755398105,2089.0,9.989195238095238,1.152617978812282,0.029293334744418864,4.839533526212944,15.8496,1018902.3892429799,-3.282385966301092,0.7628952223889218,0,0.022440204246170437,0.022440204246170437,73.23943661971832,145.03366513168157
nhdhr_76156475,nhdhr_120018459,2.448707191687725,2117.0,18.34281994704325,0.22043091873313572,0.8579318144401524,12.795874407368135,-6.4008,-5123775.43558519,-1.8607725662312475,0.3712939368067678,-1,-0.09453104004299917,0.09453104004299917,51.85185185185185,69.91603733164709
nhdhr_76244568,nhdhr_120018114,2.2787909961854216,11422.0,14.450159064891244,0.3841499669791436,0.9913736182605315,7.390822242644685,17.9936,110065507.22924913,3.2327443861285303,0.09582230197067032,0,-0.07041117979037892,0.07041117979037892,81.40721705454413,191.52225538890107
nhdhr_76245428,nhdhr_120018459,2.0304779791457865,2117.0,18.34281994704325,0.22043091873313572,0.8579318144401524,12.795874407368135,-1.8287999999999993,3421061.7308984604,4.7253588808237055,0.5978651632667766,-1,-0.2819806503628056,0.2819806503628056,18.181818181818176,111.94387402303838
nhdhr_77357904,nhdhr_34124239,0.7027632541195066,354.0,20.2922969837587,0.717115436258043,0.23029280363887317,13.278638654181876,0.6095999999999999,474802.476670161,8.197159558982548,-0.5877498510621249,0,0.017468422467078748,0.017468422467078748,22.22222222222222,39.80913255699439
nhdhr_77358032,nhdhr_139268769,0.7421310350889901,2370.0,19.5630754857997,0.5199060812590769,0.2799363026102153,11.706590684963132,4.267200000000001,-156609.40127374197,33.822778805887054,-0.006430831457618247,0,0.10944638538027418,0.10944638538027418,100.00000000000003,16.744201212201077
nhdhr_77358110,nhdhr_139268769,0.7427021131465579,2370.0,19.5630754857997,0.5199060812590769,0.2799363026102153,11.706590684963132,0.3048000000000002,-2071699.4012737419,33.822778805887054,-0.006430831457618247,0,0.24301263101316856,0.24301263101316856,4.878048780487807,109.44866596004917
nhdhr_77358124,nhdhr_139268769,0.7132670758101635,2370.0,19.5630754857997,0.5199060812590769,0.2799363026102153,11.706590684963132,3.3528000000000002,241039.59872625803,33.822778805887054,-0.006430831457618247,0,0.0763907551733406,0.0763907551733406,70.96774193548387,32.7285652164587
nhdhr_77358146,nhdhr_139268769,0.5299049684490362,2370.0,19.5630754857997,0.5199060812590769,0.2799363026102153,11.706590684963132,1.8288000000000002,-2342549.401273742,33.822778805887054,-0.006430831457618247,0,0.2172803009943564,0.2172803009943564,33.333333333333336,115.49464720145701
