target_id,source_id,rmse
source_id,n_profiles,seed,rmse
0E445706-1F3E-47FA-8A83-D38E2C953307,105954753,3.6350442535121097
0E445706-1F3E-47FA-8A83-D38E2C953307,120017988,7.2735187475331315
0E445706-1F3E-47FA-8A83-D38E2C953307,120018006,11.813154956885043
0E445706-1F3E-47FA-8A83-D38E2C953307,120018022,10.436040372418441
0E445706-1F3E-47FA-8A83-D38E2C953307,120018032,3.273552091989968
0E445706-1F3E-47FA-8A83-D38E2C953307,120018049,5.575096047137601
0E445706-1F3E-47FA-8A83-D38E2C953307,120018059,7.138124329713061
0E445706-1F3E-47FA-8A83-D38E2C953307,120018071,6.984503534661683
0E445706-1F3E-47FA-8A83-D38E2C953307,120018074,6.989838112984267
0E445706-1F3E-47FA-8A83-D38E2C953307,120018081,6.534883465453871
0E445706-1F3E-47FA-8A83-D38E2C953307,120018084,6.5856475189513475
0E445706-1F3E-47FA-8A83-D38E2C953307,120018089,9.083832659314643
0E445706-1F3E-47FA-8A83-D38E2C953307,120018090,10.908476326298034
0E445706-1F3E-47FA-8A83-D38E2C953307,120018094,8.959309206946532
0E445706-1F3E-47FA-8A83-D38E2C953307,120018097,7.0462577558543025
0E445706-1F3E-47FA-8A83-D38E2C953307,120018100,4.280657058714546
0E445706-1F3E-47FA-8A83-D38E2C953307,120018102,4.755389463534736
0E445706-1F3E-47FA-8A83-D38E2C953307,120018107,9.007592519833734
0E445706-1F3E-47FA-8A83-D38E2C953307,120018108,10.104181800673047
0E445706-1F3E-47FA-8A83-D38E2C953307,120018114,2.751338082024423
0E445706-1F3E-47FA-8A83-D38E2C953307,120018124,6.376621077462315
0E445706-1F3E-47FA-8A83-D38E2C953307,120018126,7.6835137689918325
0E445706-1F3E-47FA-8A83-D38E2C953307,120018129,7.672367070343719
0E445706-1F3E-47FA-8A83-D38E2C953307,120018132,5.734524829603688
0E445706-1F3E-47FA-8A83-D38E2C953307,120018133,3.795849402016946
0E445706-1F3E-47FA-8A83-D38E2C953307,120018139,4.24448888603368
