target_id,pgdtl_rmse,pb0_rmse,improve_over_pb0,mean_predicted_rmse_ensemble,minimum_predicted_rmse_ensemble,K_d,SDF,fullname,glm_uncal_rmse_third,glm_uncal_rmse_full,latitude,longitude,max_depth,surface_area,sw_mean,sw_std,lw_mean,lw_std,at_mean,at_std,rh_mean,rh_std,ws_mean,ws_std,rain_mean,rain_std,snow_mean,snow_std,sw_mean_sp,sw_std_sp,lw_mean_sp,lw_std_sp,at_mean_sp,at_std_sp,rh_mean_sp,rh_std_sp,ws_mean_sp,ws_std_sp,rain_mean_sp,rain_std_sp,snow_mean_sp,snow_std_sp,sw_mean_su,sw_std_su,lw_mean_su,lw_std_su,at_mean_su,at_std_su,rh_mean_su,rh_std_su,ws_mean_su,ws_std_su,rain_mean_su,rain_std_su,snow_mean_su,snow_std_su,sw_mean_au,sw_std_au,lw_mean_au,lw_std_au,at_mean_au,at_std_au,rh_mean_au,rh_std_au,ws_mean_au,ws_std_au,rain_mean_au,rain_std_au,snow_mean_au,snow_std_au,sw_mean_wi,sw_std_wi,lw_mean_wi,lw_std_wi,at_mean_wi,at_std_wi,rh_mean_wi,rh_std_wi,ws_mean_wi,ws_std_wi,rain_mean_wi,rain_std_wi,snow_mean_wi,snow_std_wi,n_obs,n_prof,n_obs_wi,n_obs_sp,n_obs_su,n_obs_au,obs_depth_mean_frac,obs_temp_mean,obs_temp_std,obs_temp_skew,obs_temp_kurt,zero_temp_doy,at_amp,lathrop_strat,glm_strat_perc,ws_sp_mix
nhdhr_120018500,1.82538956,2.553353766,0.7279642055,1.824561565,1.366971695,0.5505263,2.478813935,Middle Cormorant Lake,1.595812873,2.553353766,46.76381833,-96.10718868,10.668,2705673.097,166.3457785,85.94801725,285.0601884,63.13627987,5.614010007,13.93621334,71.30337022,15.35967117,4.285325514,1.514195646,0.001488050118,0.004861075442,0.002051364141,0.0105028901,104.1276024,43.9321816,219.323913,37.84664151,-11.0097225,7.525468865,85.42508134,7.963272176,3.942447916,1.439876762,8.00E-05,0.000684685359,0.005010941889,0.01512645432,228.3157041,63.43051959,300.8130727,43.63020594,10.73638969,7.846369446,63.92284617,14.46011519,4.646711389,1.58949895,0.002036937648,0.005175362547,0.0008090771474,0.007447665362,237.5723465,57.86850409,353.8675054,29.44725608,20.76797388,4.458181944,62.4915101,11.84189671,4.207769447,1.346502636,0.002820929711,0.006871720375,0,0,90.14668272,40.05043987,262.7584453,43.44405666,1.169728657,9.239367368,73.92050217,13.86911097,4.341341045,1.587007177,0.0009406297074,0.003802458135,0.00250119321,0.01217866133,136,46,0,21,112,3,0.3563433247,21.18005988,3.892354506,-0.660779126,-0.4435125581,313,19.63008959,0,0.3106019887,4.265612109
nhdhr_114540785,3.669593154,2.55324302,-1.116350133,2.786587578,2.185294818,0.6370872,2.293188777,Esther Lake,2.364399489,2.55324302,47.9802005,-90.11131261,10.668,313510.1335,167.2891363,98.98176906,276.066219,48.64079267,2.854162884,10.80769265,77.42638183,10.54226481,5.22654539,2.034137824,0.001590641998,0.005031032582,0.003973004541,0.01871399411,91.16787513,47.23548064,226.1349876,35.86713208,-10.05453718,6.218386991,82.61691838,7.001054389,5.514424124,2.07045941,8.73E-05,0.001259865464,0.008881189999,0.02486800559,244.6322518,75.39728986,279.0370393,35.83164454,4.652287537,6.406163127,73.45026945,12.90126292,4.765746458,1.893039918,0.001823530012,0.005109207225,0.003434420464,0.01980399372,243.3610227,69.24371952,326.9012569,22.55005706,15.22547105,3.398276594,75.48640288,10.00820577,4.567233424,1.606683649,0.002784141519,0.00646609572,0,0,84.17852655,43.9003305,269.9334115,35.1738427,1.018219435,6.943413835,78.32240526,8.955232083,6.107326581,2.160475309,0.001613736778,0.005223815981,0.003749165804,0.01906781953,167,18,0,25,130,12,0.461675075,12.16490103,5.26650508,0.3627024005,-1.032474748,313,15.36110011,0,0.314028487,4.590032698
nhdhr_0b5e30c9-8c3f-401b-9931-91ac59b2662a,1.732346659,2.552360395,0.8200137362,2.400335569,2.234893023,1.052133,4.350028046,Garden Lake,2.352995419,2.552360395,47.92105663,-91.74746617,16.4592,2644276.289,153.4676648,86.99286551,284.7017394,60.13780421,4.250299324,13.02168164,75.7054655,11.68105413,5.168312802,1.831143561,0.001581429357,0.00483378212,0.003070581974,0.01422346145,89.10152954,45.04675634,222.7201776,39.81283807,-11.12566448,7.184625479,84.44007448,7.41086274,5.227170179,1.836935962,0.0001134256487,0.001271355868,0.006735014868,0.01882808612,220.2452913,68.1320809,297.937335,42.97532797,8.68059407,7.749693133,68.61997638,12.30175323,5.143342519,1.850525742,0.001915546396,0.004679095476,0.001641882559,0.01165500846,219.7728264,58.18880632,348.1611193,27.39539628,18.42864564,4.146403436,71.06567127,8.351245578,4.802670651,1.627402869,0.003016275092,0.006810525866,1.56E-09,9.66E-08,79.67468071,41.55470565,266.8433296,43.41374932,0.2866510854,8.674883764,79.07356052,10.53124752,5.520628632,1.932671008,0.00120911606,0.00424650163,0.004074876139,0.01743100819,830,80,0,219,559,52,0.3615365516,16.10283349,4.461899586,-0.003542506546,-0.9958665958,312,18.41885956,0,0.1541252352,4.908779982
nhdhr_70333279,1.956863418,2.551269192,0.5944057735,2.121045823,1.510456171,0.2650016,2.360620014,Blue Lake,2.136879791,2.551269192,45.8392428,-89.75803795,11.8872,1778640,160.5846134,83.14575891,286.3425799,58.33576143,5.253691529,11.92840443,78.27656362,10.08705285,4.975335351,1.742620778,0.001858552255,0.005339751298,0.00328261903,0.01495181323,101.5069628,46.48095792,227.560972,39.5846187,-8.763512355,6.515690151,85.25087632,6.916033546,5.157806021,1.737910259,0.0001827690809,0.001443077132,0.007952271078,0.02231684577,221.5934944,65.82571235,298.5957358,43.37909496,8.929106714,7.455767517,72.75085117,10.9050766,5.019989404,1.774670581,0.002390401089,0.005669775407,0.001818871156,0.01280619057,224.7008596,55.96355039,345.7340692,30.14388025,18.261052,4.096463216,76.39375752,7.224678653,4.392123047,1.454561544,0.003207728777,0.006954339,0,0,89.7043163,40.52303545,270.5514716,42.88475129,1.929389267,7.922260921,78.90532905,10.29772171,5.360132187,1.835420077,0.00158300762,0.005047308915,0.003527825428,0.01439889182,80,14,0,0,80,0,0.4243009287,19.92454205,4.005764314,-1.244126993,0.5049492469,314,16.69393583,0,0.1425692018,4.622790008
nhdhr_151950179,3.542341397,2.546675467,-0.9956659305,2.352773322,2.049406793,0.7203716,1.825752984,Big Moon Lake,3.827515701,2.546675467,45.34309435,-92.1192151,14.6304,756833.9883,164.0912502,81.90430029,290.2213506,61.37329771,6.196821067,12.60564268,76.86801296,11.39043065,4.787297934,1.675807806,0.002094441697,0.005909005552,0.002814626246,0.01459586578,108.9365495,46.19413737,227.9268214,39.73355825,-8.635573528,6.937416346,85.57059652,7.486834611,4.871805748,1.657137451,0.0002186056486,0.00154197459,0.007566110279,0.02292798787,221.2825552,64.83588955,305.2956456,43.4030399,10.59086146,7.358047554,71.15249019,11.24247949,4.96476644,1.759265273,0.002900423624,0.006404203517,0.0009958366916,0.009642213638,228.9335502,56.59002521,354.5453257,30.22558854,19.91013711,4.194694986,73.07125747,9.476658637,4.279444217,1.42678456,0.00366111474,0.007960632997,0,0,92.41258931,39.9443149,269.866436,44.62648161,2.210638446,8.439728739,77.96203554,11.09908914,5.054543239,1.734847711,0.001508657002,0.004940066947,0.002849581805,0.01451299554,604,46,50,167,381,6,0.4879049809,11.67806512,6.980401116,0.5841790699,-0.9385640567,322,17.71517522,0,0.2344127923,4.532263593
nhdhr_86277939,1.993536618,2.546121831,0.5525852132,1.582144376,1.309618916,0.6150517,1.244737331,Hoffman Lake,2.235003199,2.546121831,46.58601297,-95.80049192,5,586313.5679,167.1567546,85.55096881,285.8603508,62.47538126,5.730040776,13.66860372,71.99398977,14.40323385,4.568153027,1.621374894,0.001497184661,0.004774990946,0.00204692541,0.01093941568,106.077299,44.50958101,220.8008092,37.63441131,-10.64030151,7.373081689,85.10573679,8.439241775,4.368342211,1.574218422,9.18E-05,0.0007599525421,0.005164214599,0.01665362405,228.9547093,64.34036851,302.1138523,43.49982755,10.85574136,7.716550778,64.12064471,13.79449643,4.859937415,1.676229325,0.002160224232,0.005398620758,0.0007479968175,0.006935299739,237.289445,57.35036835,353.3184391,29.13178131,20.53990881,4.275806545,65.16841307,10.26621654,4.328630857,1.434056397,0.002727854437,0.006501239845,0,0,91.1361222,39.63055631,263.779952,43.25969691,1.388821932,9.019908282,74.04676207,13.39395488,4.722115141,1.72872363,0.0009370196775,0.003723339486,0.002390701561,0.01200535884,57,52,0,26,31,0,0.04736842105,19.18572053,4.390822698,-0.6041084717,-0.1827978033,313,19.16337237,0,0.4874361731,4.523646541
nhdhr_166948213,2.134311417,2.544938915,0.410627498,2.924490566,2.377250557,1.044794,1.648761182,Rossier Lake,2.027988712,2.544938915,45.59316682,-94.3013102,9.144,148479.4761,166.6277525,83.26238816,291.2258038,62.2877573,6.70984845,13.05882523,73.40499703,13.33587447,4.625586809,1.638562611,0.001830704983,0.005504972219,0.002345319266,0.01329999405,108.0791096,44.29678263,227.4072226,38.63346809,-8.716388167,7.196490462,84.66594992,8.705791854,4.569248232,1.625209963,0.0001682872433,0.001250564649,0.006195987843,0.02020014127,225.8496036,66.36842262,307.4104917,43.84954208,11.48769158,7.544187841,65.96040483,12.98285538,4.904807655,1.712261682,0.002676565223,0.006226805024,0.0006947775712,0.007230181695,232.8124342,56.56453092,357.498337,29.92418009,20.82022412,4.235136324,68.83654904,9.761507532,4.234681685,1.418599339,0.003208034639,0.007360392517,0,0,94.8736813,40.65840777,269.2103928,44.18072821,2.509701393,8.760185126,74.50729207,13.00339809,4.806946099,1.705311837,0.001187277282,0.004420991528,0.002624088789,0.01531499939,67,9,0,28,30,9,0.4284678967,14.40720655,5.33918884,0.1946788937,-1.105486496,320,18.22343239,0,0.3136253695,4.492537417
nhdhr_139269384,1.181792514,2.544629766,1.362837253,2.503790354,2.28585916,0.5143593,1.806903331,Silver Lake,1.779148897,2.544629766,43.3873171,-88.21292316,14.3256,495538.1725,167.5468293,84.54634355,298.3864473,59.28726074,7.770712797,11.48471345,77.53929803,10.46878729,4.853723016,1.709140251,0.002169293123,0.005896210528,0.002557449952,0.01443217022,104.123028,44.70756293,240.181563,40.28089391,-5.620987323,6.364589007,84.63213865,8.333818611,5.222672642,1.770830693,0.0005650679191,0.002651493044,0.007667484601,0.02396430141,224.5311057,68.97394102,309.5080228,42.72265463,10.95811273,7.076503776,73.78316453,10.03313048,4.905774201,1.712433274,0.0029144855,0.006697077756,0.0007303417303,0.00894636309,235.852544,57.92798851,359.783967,31.94839285,20.50500143,3.950158949,74.26300762,9.449991014,4.095081713,1.286202585,0.003233266998,0.007359136002,0,0,100.8088601,45.05870695,281.0615496,44.39792785,4.605042616,7.638306131,77.69042123,10.20194354,5.227072675,1.773114896,0.001901880761,0.005249543084,0.001965818307,0.01235766959,254,17,58,74,122,0,0.4790169155,10.93841186,6.970423242,0.7448413258,-0.7111567359,332,16.13774179,0,0.0769282451,4.270694812
nhdhr_106374666,2.105724019,2.543949081,0.4382250616,2.569001625,2.367221911,0.4800073,1.727837627,Hobson Lake,2.005970581,2.543949081,47.54798655,-92.98684786,12.8016,271028.5003,154.9467554,84.49043018,284.7411048,60.25109938,4.564822088,13.03028095,75.55327167,12.38910672,4.907911363,1.715999886,0.001538087526,0.004564408688,0.002088741369,0.0101744129,94.4259256,44.8229001,223.0075981,39.67220187,-10.72563789,7.245485953,84.77324443,7.485645558,4.897890428,1.672010427,9.17E-05,0.0009215005243,0.004694040538,0.01379200231,219.7389409,66.85270023,298.3501624,42.59877819,9.024223514,7.590428768,69.38164247,12.47360257,4.984827489,1.772441901,0.001922748171,0.004670131305,0.001173101007,0.009155378448,218.6034602,57.04513717,348.4535479,28.159049,18.75945528,4.244213654,70.14830441,10.53830321,4.592542928,1.575810387,0.002986619125,0.00643156062,0,0,82.10433443,39.5437146,265.9778419,43.52227928,0.4671853111,8.81842931,78.29271533,11.45021933,5.171649312,1.789191101,0.001077145136,0.00370362226,0.002599620447,0.01152247171,168,17,0,46,82,40,0.4059202421,11.24321449,5.708387788,1.119269159,-0.09168152463,312,18.25635981,0,0.2649825316,4.707360039
nhdhr_122549905,1.501752385,2.541300744,1.039548359,1.391680008,1.059457817,7.555556,3.651160335,None,2.834251797,2.541300744,45.1936265,-96.14326657,2,14785570.05,169.5925963,83.83231389,295.2360823,63.63660321,7.851503542,13.50351339,69.85053403,15.2855123,4.764167436,1.68196881,0.001521973691,0.004878037494,0.001826379702,0.01150591551,108.6684704,43.10955151,229.9623139,37.25900291,-8.042957749,7.546461707,83.41086593,9.795670811,4.62708825,1.675326583,0.0001468299194,0.001029981932,0.005092343523,0.01898409298,224.4378754,65.55765057,312.2370423,43.60772381,12.79987955,7.579163044,62.86973912,13.85067599,5.073626055,1.734299716,0.002242304482,0.005406441912,0.0003888279415,0.004828110254,242.3195702,55.93333954,364.6936788,30.71783402,22.4482386,4.436771334,62.95770956,12.00591153,4.483136981,1.466900574,0.002669903222,0.006529544934,0,0,97.86146867,40.07876535,270.4884102,43.8504916,3.43616113,9.187280307,70.59684146,14.95202055,4.880091375,1.780301386,0.0009593055089,0.004145806172,0.001929763225,0.01172118826,62,35,0,15,43,4,0.2177419355,21.31848372,4.830297619,-0.7918324352,0.7996797831,323,19.25234375,0,0.3288094598,4.607158683
