,target_id,pgdtl_rmse,pb0_rmse,improve_over_pb0,mean_predicted_rmse_ensemble,minimum_predicted_rmse_ensemble,K_d,SDF,fullname,glm_uncal_rmse_third,glm_uncal_rmse_full,latitude,longitude,max_depth,surface_area,sw_mean,sw_std,lw_mean,lw_std,at_mean,at_std,rh_mean,rh_std,ws_mean,ws_std,rain_mean,rain_std,snow_mean,snow_std,sw_mean_sp,sw_std_sp,lw_mean_sp,lw_std_sp,at_mean_sp,at_std_sp,rh_mean_sp,rh_std_sp,ws_mean_sp,ws_std_sp,rain_mean_sp,rain_std_sp,snow_mean_sp,snow_std_sp,sw_mean_su,sw_std_su,lw_mean_su,lw_std_su,at_mean_su,at_std_su,rh_mean_su,rh_std_su,ws_mean_su,ws_std_su,rain_mean_su,rain_std_su,snow_mean_su,snow_std_su,sw_mean_au,sw_std_au,lw_mean_au,lw_std_au,at_mean_au,at_std_au,rh_mean_au,rh_std_au,ws_mean_au,ws_std_au,rain_mean_au,rain_std_au,snow_mean_au,snow_std_au,sw_mean_wi,sw_std_wi,lw_mean_wi,lw_std_wi,at_mean_wi,at_std_wi,rh_mean_wi,rh_std_wi,ws_mean_wi,ws_std_wi,rain_mean_wi,rain_std_wi,snow_mean_wi,snow_std_wi,n_obs,n_prof,n_obs_wi,n_obs_sp,n_obs_su,n_obs_au,obs_depth_mean_frac,obs_temp_mean,obs_temp_std,obs_temp_skew,obs_temp_kurt,zero_temp_doy,at_amp,lathrop_strat,glm_strat_perc,ws_sp_mix,nldas,most_common_source
1233,nhdhr_77358772,1.577591721,2.3249621069999997,0.7473703864,1.450609419,1.231636996,1.594039,5.415754981,Musser Lake,2.580809108,2.3249621069999997,45.73506436,-90.26927842,3.9624,2055720.0,160.6722579,82.07864231,287.1162453,59.08507887,5.458055225,12.01638593,78.02370507,10.32008943,5.0799260330000005,1.77191972,0.002014150593,0.005731696598,0.003179266179,0.015165983959999999,103.4590467,47.50123819,227.68984840000002,40.13647397,-8.613681657,6.6194396929999995,85.16823182,7.062812028,5.2556603630000005,1.7577510159999998,0.00020805616159999998,0.001562988064,0.007863007036,0.022857048650000003,220.0295414,65.1831273,300.2578128,43.40366799,9.299259129,7.4098053870000005,72.44177036,10.95279192,5.143234466,1.816419468,0.002675079403,0.006053633921,0.0015951633110000002,0.012248484569999999,223.6420628,55.6786404,347.35477369999995,30.23195264,18.53673131,4.131059608999999,75.78212589,7.781953086000001,4.495509926,1.4995279719999999,0.003449332878,0.007572285714,0.0,0.0,90.81958029,40.81462657,270.1659541,43.613946999999996,1.9423489230000002,8.01974787,78.91692373,10.41743974,5.453541612,1.852888675,0.001646469966,0.005277990262,0.003425439571,0.01495650779,58,17,0,0,58,0,0.41771966829999996,21.16792702,2.134934854,1.019228043,1.001332752,319,16.85732983,0,0.032652512769999996,4.716544745,NLDAS_time[0.359420]_x[277]_y[165].csv,wqp_WIDNR_WQX-513088
1234,nhdhr_59805399,2.244968314,2.324476955,0.07950864065,2.499557105,1.927510227,0.6682180999999999,2.163197384,Two Inlets Lake,1.728525888,2.324476955,47.02912452,-95.19958543,18.288,2341851.672,162.7719697,85.98491418,284.467626,61.00489271,5.392191979,13.28196086,72.68676639,13.74711279,5.280284549,1.788443385,0.001600576562,0.005026915098,0.002202479334,0.01092418932,101.7127203,46.38563282,221.371334,38.50715164,-10.26484149,7.394321646,84.56266025,7.7830434870000005,5.265825314,1.741947173,9.740000000000001e-05,0.0007971693648999999,0.005194334596,0.01581237524,226.73137889999998,65.40243498,300.05395289999996,43.09490121,10.09983548,7.745879131000001,65.52004807,13.6364147,5.42473201,1.846947925,0.002185584438,0.005477015176,0.00100228526,0.008276478093,231.0197889,56.97332355,349.08349689999994,28.21053207,19.72819419,4.298603051000001,66.87171178,10.34667853,4.902529007,1.627490018,0.0029796272979999996,0.006883775954,0.0,0.0,86.48729888,39.53580621,264.0880943,43.55129773,1.260331198,9.021118057999999,74.19492608,13.22321641,5.544607158,1.867088585,0.001063543738,0.004132736229,0.002735672792,0.01222841952,76,13,0,3,73,0,0.3302424368,17.68700577,4.895754524,-0.19899757629999998,-1.282954229,313,18.63395557,0,0.24549852190000002,5.046227211000001,NLDAS_time[0.359420]_x[238]_y[176].csv,7a_temp_coop_munge/tmp/MN_fisheries_all_temp_data_Jan2018.rds
1235,nhdhr_58123265,1.900609075,2.324235363,0.4236262882,2.052118546,1.7735703969999999,0.6320469,1.4167783040000002,Coal Lake,1.974728031,2.324235363,46.08147746,-94.75515566,7.62,692341.5784,165.78823169999998,83.55497788,287.081576,61.88786968,5.87789971,13.13996197,73.65288586,13.11758037,5.1770464480000005,1.784071011,0.0017516564879999999,0.005366276384000001,0.0025836356600000003,0.014598539550000001,107.09748559999998,44.74368605,223.41964930000003,38.21585217,-9.668235689,7.246594879,84.45455975,8.623600588,5.180003945,1.742259495,0.0001517026486,0.00123020517,0.006532023246,0.022241979390000003,225.03287169999996,65.59577098,303.3138171,43.35879146,10.71909414,7.52381111,66.51485106,12.87248768,5.3796656270000005,1.849462802,0.002504823357,0.006016545575999999,0.001054827941,0.0107974522,233.2432367,56.34226285,353.1809604,29.28655713,20.12075476,4.18566588,68.68512690000001,9.711011942999999,4.745522664,1.6039730230000002,0.003103976313,0.007077632673,0.0,0.0,92.81300279,39.61292257,265.0410413,43.66392755,1.593918404,8.741476412,75.32573237,12.65348518,5.420365272000001,1.85350388,0.001167124609,0.004569977872,0.002889188,0.015075614740000002,149,20,0,27,114,8,0.4808962638,18.68070002,4.392077205,-0.3422023018,-0.6478706104999999,314,18.34889986,0,0.30200215,4.978385718999999,NLDAS_time[0.359420]_x[241]_y[168].csv,7a_temp_coop_munge/tmp/todd_mnlakedata_historicalfiles_manualentry.rds
1236,nhdhr_91595057,1.530096555,2.323442928,0.7933463727,1.877731159,1.655199712,1.0439690000000001,2.0456753969999997,Blackhawk Lake,2.157292601,2.323442928,44.81945835,-93.18240535,3.2004,161406.4031,165.2763326,81.34277447,296.5843163,62.83706766,7.333469387999999,13.05513357,74.47976838,12.71444836,4.227473863,1.5332388240000001,0.002028401542,0.006028583704,0.002474950852,0.01420716101,109.90211699999999,44.54624194,232.0718179,39.32307209,-8.209984518999999,7.192944322000001,84.99882165,8.699315454,4.15534286,1.5330527230000002,0.0002271161621,0.001418906838,0.006743907032,0.0220446954,220.04598650000003,65.8052746,313.0161475,43.7023359,12.16794665,7.438774168999999,68.08106763,11.78256625,4.518755778,1.603748432,0.002970536295,0.006632120755,0.0006444602331,0.008406158693,230.8574299,56.26810761,363.07067989999996,30.73385077,21.35573346,4.253908999999999,70.44772047,10.29322815,3.851737333,1.2868984959999998,0.003509362608,0.008361444577,0.0,0.0,95.54323149999999,41.32193633,274.7912036,44.967737299999996,3.286696435,8.80343105,74.68665102,12.63429057,4.396357917,1.608649964,0.001316809235,0.004560336705,0.002652515481,0.015305224950000001,164,137,3,52,98,11,0.09430985761,22.30284316,5.05064984,-1.581309479,3.185445708,324,18.31755326,0,0.23958613280000002,4.119379562,NLDAS_time[0.359420]_x[254]_y[158].csv,7a_temp_coop_munge/tmp/MPCA_temp_data_all.rds
1237,nhdhr_69546231,1.9911945219999998,2.32313808,0.3319435581,1.233640106,0.9032092734,0.7462143,3.0619136080000002,Birch Island Lake,2.75828068,2.32313808,45.94993913,-92.14710434,3.9624,3108557.5710000005,161.62015630000002,82.81317847,290.8129581,61.13116079,6.045664835,12.66236433,76.81592634,11.20696888,4.441846003999999,1.594600253,0.001964122139,0.005717779096,0.0025554040090000002,0.013225909740000001,102.74061970000001,45.37350459,228.37295519999998,39.55147093,-8.930121448,6.865070229,85.09382268,7.486547807999999,4.478155517,1.5846919990000001,0.00021366843240000003,0.001519609295,0.006723428926999999,0.02067447244,219.42683509999998,64.90017199,305.21240919999997,42.96230853,10.44200944,7.369123039,71.18741136,11.19027808,4.607634638,1.6496580969999999,0.002603176488,0.005948096638,0.0009632733284000001,0.008136007827,228.1872795,56.9875096,355.2628125,29.57562061,19.86136126,4.118360672,73.44678661,9.413264595,4.013152661,1.3797875519999998,0.003473770943,0.007779737905999999,0.0,0.0,91.26055112,40.91348204,271.170191,44.47845696,2.094364029,8.459873627999999,77.79899199,10.97519279,4.686429237,1.668301271,0.0014839849,0.005018696627,0.0026738890139999996,0.01374867354,183,58,3,52,115,13,0.2661631357,21.43217703,5.425500573,-1.6606643580000002,3.785735607,318,17.7888593,0,0.039236764310000005,4.234955812,NLDAS_time[0.359420]_x[262]_y[167].csv,wqp_WIDNR_WQX-073099
1238,nhdhr_82955731,1.5513123430000002,2.3226402459999997,0.7713279037999999,2.621368562,2.350827961,0.4579624,1.114436833,Henderson Lake,2.317074454,2.3226402459999997,45.23072903,-94.99264868,17.0688,304819.4645,167.5382387,82.99417788,291.1564552,62.46288562,6.956858409,13.17466719,72.14434596,14.13440061,4.904112924,1.6819749609999999,0.0018492461050000002,0.005685064527,0.0022133648759999998,0.013340237279999998,108.1759642,42.43253506,227.0413156,38.00394372,-8.641526645,7.328331424,84.26075201,9.28443059,4.839264344,1.6598861480000002,0.000154972919,0.001136433837,0.005847512164,0.020364649380000002,224.4477458,65.54898899,308.2348397,44.06824145,11.94547938,7.5983364579999995,63.80660056,13.52418627,5.196829153,1.745281742,0.002754420707,0.00648582905,0.000605413574,0.006997765913,236.278208,56.86376595,357.545625,30.07617125,21.0278655,4.248488598,68.08589627,10.173496499999999,4.527596476,1.4621005759999999,0.003294464481,0.007715728192,0.0,0.0,96.30061540000001,39.99870023,268.3947369,44.06851359,2.7549633960000004,8.939674132999999,72.76384128,13.98880518,5.064953844,1.773012679,0.001105102657,0.004298056013,0.0025282883009999997,0.015427340930000002,328,31,0,79,223,26,0.4017992892,13.78820873,6.925189233999999,0.3169429316,-1.253902812,320,18.40657513,0,0.3994893846,4.780834984,NLDAS_time[0.359420]_x[240]_y[161].csv,7a_temp_coop_munge/tmp/MPCA_temp_data_all.rds
1239,nhdhr_120018562,1.365255296,2.3221194919999997,0.9568641955,1.636469256,1.358029793,0.8720899999999999,1.096298247,Round Lake,1.986728567,2.3221194919999997,46.55170058,-95.79045669,5.0,689280.145,167.1567546,85.55096881,285.8603508,62.47538126,5.730040776,13.66860372,71.99398977,14.40323385,4.568153027,1.6213748940000001,0.0014971846609999999,0.004774990946,0.0020469254100000003,0.01093941568,106.077299,44.50958101,220.80080919999997,37.63441131,-10.64030151,7.373081689,85.10573679,8.439241775,4.368342211,1.574218422,9.18e-05,0.0007599525421,0.005164214599,0.01665362405,228.95470930000005,64.34036851,302.1138523,43.49982755,10.85574136,7.716550777999999,64.12064471,13.79449643,4.859937415,1.676229325,0.002160224232,0.005398620758,0.0007479968175,0.006935299739,237.28944500000003,57.35036835,353.31843910000003,29.13178131,20.53990881,4.275806545,65.16841307,10.26621654,4.328630857,1.434056397,0.002727854437,0.006501239845,0.0,0.0,91.1361222,39.63055631,263.779952,43.25969691,1.388821932,9.019908282000001,74.04676207,13.39395488,4.722115141000001,1.72872363,0.0009370196775,0.003723339486,0.0023907015609999998,0.01200535884,24,12,0,11,13,0,0.3,20.98383954,3.129704764,0.04461227114,-1.200287812,313,19.16337237,0,0.48542058590000003,4.523646541000001,NLDAS_time[0.359420]_x[233]_y[172].csv,7a_temp_coop_munge/tmp/MN_fisheries_all_temp_data_Jan2018.rds
1240,nhdhr_147520102,1.359448814,2.321751747,0.9623029327,1.318440914,0.8083499398999999,1.2446840000000001,1.94417731,Lake Henry,2.482666261,2.321751747,44.32823135,-97.48542304,3.2218720000000003,9011512.945,172.8802189,83.75373712,292.065247,62.50443974,7.890034762000001,13.20804029,68.86403125,15.39556419,5.295527624,1.916564533,0.0015935328409999998,0.005084678869,0.0018584426740000002,0.01135821574,108.39013840000001,42.94945549,228.9772849,36.06198404,-7.361142191,7.504748732,82.02983411,11.43197866,5.170097112,1.861211376,0.00017037875669999997,0.00129020259,0.004646386759,0.017106695680000002,226.3945054,64.70474616,308.35150760000005,42.07746712,12.4107617,7.247057788999999,63.63404532,13.02721617,5.545956792999999,1.957247903,0.002457527863,0.005912915194,0.0009122089113999999,0.00984671346,247.5117583,54.27654119,361.3444929,31.07731228,22.46904805,4.550545717,60.43993122,12.44682517,5.063942046,1.7992444140000001,0.0027532662939999996,0.006747794139,0.0,0.0,104.1291792,41.13055959,266.0283796,42.51539426,3.283198785,8.943279547000001,69.81785912,14.87823368,5.40843661,2.008876033,0.0009185720737000001,0.003936960922,0.0019725119270000003,0.01095980133,86,16,0,34,46,6,0.4818085825,19.08601553,6.153809991,-0.6309817392,-1.058710877,323,18.78832571,0,0.2481859715,5.157038845,NLDAS_time[0.359420]_x[220]_y[154].csv,wqp_SDDENR_WQX-KINGSBUH01
1241,nhdhr_120020669,1.571112841,2.321044402,0.7499315612999999,1.1993549,0.9069178431999999,4.404145,1.2663667159999998,Current Lake,2.8837394460000003,2.321044402,44.16435863,-95.94651085,3.262372,1641967.9,167.77116709999999,80.66291431,291.3900212,62.23563985,7.490838221000001,13.03050397,70.66067340000001,14.78858608,4.893702284,1.649031406,0.001677489169,0.005299183663,0.002292675792,0.015487313059999999,108.50721840000001,41.2112394,228.1055924,36.90031204,-7.711228835,7.4178469,82.76781721,10.73567044,4.784012904,1.5886178930000001,0.0001560781348,0.001174758825,0.0060573283770000005,0.02622736253,219.4427578,63.73127353,308.5766125,43.00433544,12.24249756,7.444112961,63.74329447,13.34866977,5.221735302,1.740604206,0.002629377865,0.0062207229810000006,0.0006712515896,0.0076484202179999995,238.2306071,52.88598546,358.5812319,30.49099355,21.51624364,4.349905263,65.76378598,12.12976776,4.551164216,1.4779653730000002,0.0028344099920000003,0.006829176847,0.0,0.0,100.03224909999999,40.924727000000004,266.827028,43.40295041,3.180198761,8.929976078,70.70685736,14.75688256,5.0276161969999995,1.7025362130000001,0.001014272895,0.004412181547,0.00257296355,0.01427786175,78,42,0,18,56,4,0.2416835169,20.14320958,4.302690203,-0.625301134,-0.186200707,323,18.17231258,0,0.2279629132,4.736519746,NLDAS_time[0.359420]_x[232]_y[153].csv,7a_temp_coop_munge/tmp/MPCA_temp_data_all.rds
1242,nhdhr_120019336,1.9158605880000001,2.32082267,0.40496208270000006,2.025067912,1.453275642,0.6189182,1.0634644420000001,Lake George,2.0312233369999997,2.32082267,45.35680333,-93.33578942,9.4488,1971891.8169999998,165.7013483,82.7478666,294.443464,62.67394152,6.891048306,12.99017483,74.51542699,12.56467124,4.262837364,1.563396214,0.00194825755,0.005802728658,0.00235361763,0.01312750001,108.6638143,45.75113667,230.14679219999996,39.32434524,-8.574113582999999,7.005020489,84.63912237,8.833611867,4.179694737,1.565305635,0.00017872102699999999,0.001189087241,0.006324335139,0.02007864367,222.58439959999998,66.44142387,310.44589229999997,43.49807147,11.68993143,7.350897579,67.95975426,11.70968622,4.540254243,1.6287430269999998,0.0027122242859999998,0.006114392267,0.0006070697241,0.006946339644,231.6292034,57.59326677,361.02621089999997,30.52096513,20.99826256,4.197347488,70.23805739,10.14759757,3.9118710080000003,1.335769459,0.003554372783,0.008247977833,0.0,0.0,95.10393901,41.15967825,272.77358730000003,44.77215967,2.711960359,8.620509697000001,75.5445602,12.23172615,4.4310575860000005,1.6360064269999999,0.001256461032,0.004392848924,0.002618667307,0.01495446354,821,203,9,255,496,61,0.37944097409999994,18.95265583,4.600473039,-0.7980134077,0.8631474775,323,18.35296507,0,0.039572695510000006,4.164040307,NLDAS_time[0.359420]_x[253]_y[162].csv,7a_temp_coop_munge/tmp/MPCA_temp_data_all.rds
