,PGMTL,GLM_uncal,GLM_uncal (on test),,stratified,> max depth,< min depth,> max sa,< min sa
120019638,1.864653865,3.238590779,3.238590779,-1.373936914,TRUE,TRUE,FALSE,FALSE,FALSE
121623126,2.608573405,3.97638554,3.97638554,-1.367812135,TRUE,FALSE,FALSE,FALSE,FALSE
58125473,1.533814034,2.898816038,2.898816038,-1.365002004,FALSE,FALSE,FALSE,FALSE,FALSE
120018120,2.165387508,3.478223038,3.478223038,-1.31283553,TRUE,FALSE,FALSE,FALSE,FALSE
121622394,3.384476054,4.634944548,4.634944548,-1.250468494,TRUE,FALSE,FALSE,FALSE,FALSE
120020805,1.436449506,2.670329535,2.670329535,-1.233880029,TRUE,FALSE,FALSE,FALSE,FALSE
120018345,2.741238649,3.968529979,3.968529979,-1.22729133,FALSE,FALSE,FALSE,FALSE,FALSE
143249413,1.410593353,2.626661748,2.626661748,-1.216068395,TRUE,FALSE,FALSE,FALSE,FALSE
120018346,1.438350778,2.650130267,2.650130267,-1.211779488,FALSE,FALSE,FALSE,FALSE,FALSE
120020844,2.161690904,3.285989435,3.285989435,-1.124298531,FALSE,FALSE,TRUE,FALSE,FALSE
120020374,2.445608855,3.547474608,3.547474608,-1.101865753,TRUE,FALSE,FALSE,FALSE,FALSE
74924599,6.58913966,7.678057237,7.678057237,-1.088917577,TRUE,FALSE,FALSE,FALSE,FALSE
58124875,3.009659242,4.075262993,4.075262993,-1.065603751,FALSE,FALSE,FALSE,FALSE,FALSE
120018590,1.851097825,2.88310661,2.88310661,-1.032008785,TRUE,FALSE,FALSE,FALSE,FALSE
34126002,2.295346375,3.32656828,3.32656828,-1.031221905,TRUE,FALSE,FALSE,FALSE,FALSE
91692521,2.370358555,3.381180611,3.381180611,-1.010822056,FALSE,FALSE,FALSE,FALSE,FALSE
120019636,2.252722684,3.262287278,3.262287278,-1.009564594,TRUE,FALSE,FALSE,FALSE,FALSE
58125937,2.093136877,3.08831373,3.08831373,-0.9951768529,FALSE,FALSE,FALSE,FALSE,FALSE
34131191,2.702782715,3.673546034,3.673546034,-0.9707633198,FALSE,FALSE,FALSE,FALSE,TRUE
34119747,1.841338296,2.808115308,2.808115308,-0.9667770124,TRUE,FALSE,FALSE,FALSE,FALSE
120020203,3.765353654,4.718592029,4.718592029,-0.953238375,TRUE,FALSE,FALSE,FALSE,FALSE
120018073,1.645084728,2.595210361,2.595210361,-0.9501256333,TRUE,FALSE,FALSE,FALSE,FALSE
120020367,2.310100583,3.224056773,3.224056773,-0.9139561903,FALSE,FALSE,FALSE,FALSE,FALSE
0E445706-1F3E-47FA-8A83-D38E2C953307,2.31238415,3.22218177,3.22218177,-0.9097976201,TRUE,TRUE,FALSE,FALSE,FALSE
91684103,2.060387901,2.949451887,2.949451887,-0.8890639859,FALSE,FALSE,FALSE,FALSE,FALSE
120020240,2.468657325,3.314838519,3.314838519,-0.8461811933,TRUE,FALSE,FALSE,FALSE,FALSE
34132376,1.913335939,2.758240319,2.758240319,-0.8449043798,TRUE,FALSE,FALSE,FALSE,FALSE
155636695,2.827617316,3.669879443,3.669879443,-0.8422621272,TRUE,FALSE,FALSE,FALSE,FALSE
155442829,3.46934036,4.260350397,4.260350397,-0.7910100368,FALSE,FALSE,FALSE,FALSE,FALSE
34130988,2.2715262,3.048750311,3.048750311,-0.7772241104,TRUE,FALSE,FALSE,FALSE,FALSE
120018061,1.765608359,2.532089297,2.532089297,-0.7664809378,TRUE,FALSE,FALSE,FALSE,FALSE
120018089,1.988442748,2.751833729,2.751833729,-0.7633909805,TRUE,FALSE,FALSE,FALSE,FALSE
120020567,3.582673061,4.341452039,4.341452039,-0.758778978,TRUE,FALSE,FALSE,FALSE,FALSE
166867866,2.423006526,3.1794693,3.1794693,-0.7564627735,TRUE,TRUE,FALSE,FALSE,FALSE
143396594,5.463021406,6.216396779,6.216396779,-0.753375373,FALSE,FALSE,TRUE,FALSE,FALSE
91593827,1.388407552,2.123608622,2.123608622,-0.7352010696,TRUE,FALSE,FALSE,FALSE,FALSE
86274695,2.39724003,3.124422731,3.124422731,-0.7271827013,TRUE,FALSE,FALSE,FALSE,FALSE
45728298,3.668909773,4.327427372,4.327427372,-0.6585175987,TRUE,FALSE,FALSE,FALSE,FALSE
69884058,3.787376452,4.444692894,4.444692894,-0.6573164417,TRUE,FALSE,FALSE,FALSE,FALSE
123271064,3.225335232,3.874024141,3.874024141,-0.6486889091,TRUE,FALSE,FALSE,FALSE,FALSE
120019732,3.320108687,3.931406691,3.931406691,-0.6112980036,FALSE,FALSE,FALSE,FALSE,FALSE
120053694,2.318266609,2.907318838,2.907318838,-0.5890522297,TRUE,FALSE,FALSE,FALSE,FALSE
34128205,1.712980011,2.269986774,2.269986774,-0.5570067626,FALSE,FALSE,FALSE,FALSE,FALSE
91594687,3.161850164,3.696647339,3.696647339,-0.5347971753,FALSE,FALSE,TRUE,FALSE,FALSE
34125449,2.511925829,3.038304205,3.038304205,-0.5263783756,FALSE,FALSE,FALSE,FALSE,FALSE
0cb9b9cf-3f4b-4061-9608-9f965f202b85,3.036783814,3.558455648,3.558455648,-0.521671834,TRUE,FALSE,FALSE,FALSE,FALSE
45730422,2.843398457,3.35642606,3.35642606,-0.5130276027,TRUE,FALSE,FALSE,FALSE,FALSE
72862895,2.115832947,2.547094907,2.547094907,-0.4312619606,TRUE,FALSE,FALSE,FALSE,FALSE
120020383,1.56056745,1.973393672,1.973393672,-0.4128262217,TRUE,FALSE,FALSE,FALSE,FALSE
120019749,2.706095578,3.111156845,3.111156845,-0.4050612667,TRUE,FALSE,FALSE,FALSE,FALSE
